,Date,EXCHCD,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,vwretx
1031570,2019-01-02,3.0,INTC,INTEL CORP,45.77,47.47,47.08,18761673.0,0.003196,4564000.0,45.96,0.001783
1031571,2019-01-03,3.0,INTC,INTEL CORP,44.39,46.28,44.49,32254097.0,-0.055013,4564000.0,46.15,-0.021219
1031572,2019-01-04,3.0,INTC,INTEL CORP,45.54,47.57,47.22,35419836.0,0.061362,4564000.0,45.835,0.033399
1031573,2019-01-07,3.0,INTC,INTEL CORP,46.75,47.995,47.44,22724997.0,0.004659,4564000.0,47.1,0.009191
1031574,2019-01-08,3.0,INTC,INTEL CORP,46.78,48.03,47.74,22721240.0,0.006324,4564000.0,47.8,0.01024
1031575,2019-01-09,3.0,INTC,INTEL CORP,47.78,48.57,48.01,22545591.0,0.005656,4564000.0,47.96,0.005952
1031576,2019-01-10,3.0,INTC,INTEL CORP,47.41,48.65,48.56,27185675.0,0.011456,4564000.0,47.75,0.004468
1031577,2019-01-11,3.0,INTC,INTEL CORP,48.05,49.291,48.93,21729091.0,0.007619,4564000.0,48.1,-0.000161
1031578,2019-01-14,3.0,INTC,INTEL CORP,48.3,48.83,48.35,19186310.0,-0.011854,4564000.0,48.46,-0.005556
1031579,2019-01-15,3.0,INTC,INTEL CORP,48.44,49.13,48.6,22454420.0,0.005171,4564000.0,48.71,0.009812
1031580,2019-01-16,3.0,INTC,INTEL CORP,48.08,48.89,48.13,19051907.0,-0.009671,4564000.0,48.6,0.003156
1031581,2019-01-17,3.0,INTC,INTEL CORP,47.905,48.84,48.47,17428829.0,0.007064,4564000.0,48.0,0.007029
1031582,2019-01-18,3.0,INTC,INTEL CORP,48.69,49.38,49.19,29867570.0,0.014854,4564000.0,49.11,0.012011
1031583,2019-01-22,3.0,INTC,INTEL CORP,47.87,48.98,48.27,25935622.0,-0.018703,4564000.0,48.96,-0.014186
1031584,2019-01-23,3.0,INTC,INTEL CORP,47.52,48.8,47.94,18955406.0,-0.006837,4564000.0,48.41,0.001263
1031585,2019-01-24,3.0,INTC,INTEL CORP,48.6,50.035,49.76,50577692.0,0.037964,4564000.0,48.7,0.002762
1031586,2019-01-25,3.0,INTC,INTEL CORP,45.75,47.43,47.04,86450198.0,-0.054662,4497000.0,46.85,0.009511
1031587,2019-01-28,3.0,INTC,INTEL CORP,46.05,46.73,46.71,35922104.0,-0.007015,4497000.0,46.13,-0.0065
1031588,2019-01-29,3.0,INTC,INTEL CORP,46.33,46.97,46.54,20936842.0,-0.003639,4497000.0,46.78,-0.000924
1031589,2019-01-30,3.0,INTC,INTEL CORP,46.45,47.68,47.54,26925544.0,0.021487,4497000.0,46.68,0.014227
1031590,2019-01-31,3.0,INTC,INTEL CORP,46.1,47.18,47.12,42976716.0,-0.008835,4497000.0,46.7,0.008282
1031591,2019-02-01,3.0,INTC,INTEL CORP,47.01,49.05,48.73,37380726.0,0.034168,4497000.0,47.06,0.001282
1031592,2019-02-04,3.0,INTC,INTEL CORP,48.24,49.24,49.22,20870094.0,0.010055,4497000.0,48.62,0.006648
1031593,2019-02-05,3.0,INTC,INTEL CORP,49.18,50.7159,50.01,31558270.0,0.016050,4497000.0,49.18,0.004376
1031594,2019-02-06,3.0,INTC,INTEL CORP,49.82,50.64,49.9,21630173.0,0.004099,4497000.0,49.95,-0.00261
1031595,2019-02-07,3.0,INTC,INTEL CORP,48.68,49.85,49.23,27811375.0,-0.013427,4497000.0,49.5,-0.008941
1031596,2019-02-08,3.0,INTC,INTEL CORP,48.01,49.02,48.84,18821015.0,-0.007922,4497000.0,48.77,0.000396
1031597,2019-02-11,3.0,INTC,INTEL CORP,48.58,49.32,48.77,17992188.0,-0.001433,4497000.0,49.02,0.001238
1031598,2019-02-12,3.0,INTC,INTEL CORP,49.27,50.14,50.01,18010572.0,0.025425,4497000.0,49.36,0.012305
1031599,2019-02-13,3.0,INTC,INTEL CORP,50.0,50.81,50.47,17681907.0,0.009198,4497000.0,50.13,0.002718
1031600,2019-02-14,3.0,INTC,INTEL CORP,50.35,51.04,50.81,17491665.0,0.006737,4497000.0,50.41,-0.001763
1031601,2019-02-15,3.0,INTC,INTEL CORP,51.09,51.67,51.66,22486269.0,0.016729,4497000.0,51.25,0.010757
