Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
0,Own Home,482087.0,,0.0,11.0,26.3,685960.0,1.0,,1.0,debt consolidation,Short Term,99999999.0,47386.0,7914.0,749.0,0
1,Own Home,1025487.0,10+ years,0.0,15.0,15.3,1181730.0,0.0,,0.0,debt consolidation,Long Term,264968.0,394972.0,18373.0,737.0,1
2,Home Mortgage,751412.0,8 years,0.0,11.0,35.0,1182434.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,308389.0,13651.0,742.0,0
3,Own Home,805068.0,6 years,0.0,8.0,22.5,147400.0,1.0,,1.0,debt consolidation,Short Term,121396.0,95855.0,11338.0,694.0,0
4,Rent,776264.0,8 years,0.0,13.0,13.6,385836.0,1.0,,0.0,debt consolidation,Short Term,125840.0,93309.0,7180.0,719.0,0
5,Rent,,7 years,0.0,12.0,14.6,366784.0,0.0,,0.0,other,Long Term,337304.0,165680.0,18692.0,,1
6,Home Mortgage,1511108.0,10+ years,0.0,9.0,20.3,388124.0,0.0,73.0,0.0,home improvements,Short Term,99999999.0,51623.0,2317.0,745.0,0
7,Rent,1040060.0,10+ years,0.0,13.0,12.0,330374.0,0.0,18.0,0.0,other,Short Term,250888.0,89015.0,19761.0,705.0,1
8,Home Mortgage,,5 years,0.0,17.0,15.7,0.0,1.0,,1.0,home improvements,Short Term,129734.0,19.0,17.0,,0
9,Home Mortgage,,1 year,0.0,10.0,24.6,511302.0,0.0,6.0,0.0,debt consolidation,Long Term,572880.0,205333.0,17613.0,,1
10,Home Mortgage,,< 1 year,0.0,7.0,11.5,256322.0,0.0,,0.0,debt consolidation,Short Term,220858.0,187492.0,14592.0,,0
11,Home Mortgage,1828560.0,4 years,0.0,12.0,17.6,839080.0,0.0,,0.0,debt consolidation,Short Term,441100.0,402914.0,15528.0,737.0,0
12,Home Mortgage,933432.0,10+ years,0.0,8.0,14.0,443608.0,0.0,,0.0,debt consolidation,Short Term,337766.0,315305.0,19446.0,706.0,0
13,Rent,2066364.0,10+ years,0.0,11.0,17.7,1654026.0,0.0,,0.0,debt consolidation,Long Term,549780.0,1037077.0,21869.0,728.0,1
14,Own Home,2258796.0,7 years,0.0,11.0,17.7,1602546.0,0.0,,0.0,other,Short Term,185262.0,1374327.0,58352.0,748.0,0
